zone,box_id,rack_name,slot_id,row,col,x_mm,y_mm,z_insert_mm,z_pick_75mm,z_pick_100mm,z_place_75mm,z_place_100mm,slot_role,notes
input,input_box_2,input_box_2_4x6,D4,D,4,-316.000,113.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,D5,D,5,-288.000,113.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_2,input_box_2_4x6,D6,D,6,-260.000,113.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,A1,A,1,-400.000,67.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,A2,A,2,-372.000,67.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,A3,A,3,-344.000,67.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,A4,A,4,-316.000,67.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,A5,A,5,-288.000,67.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,A6,A,6,-260.000,67.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,B1,B,1,-400.000,39.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,B2,B,2,-372.000,39.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,B3,B,3,-344.000,39.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,B4,B,4,-316.000,39.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,B5,B,5,-288.000,39.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,B6,B,6,-260.000,39.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,C1,C,1,-400.000,11.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,C2,C,2,-372.000,11.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,C3,C,3,-344.000,11.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,C4,C,4,-316.000,11.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,C5,C,5,-288.000,11.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,C6,C,6,-260.000,11.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,D1,D,1,-400.000,-17.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,D2,D,2,-372.000,-17.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,D3,D,3,-344.000,-17.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,D4,D,4,-316.000,-17.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,D5,D,5,-288.000,-17.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_3,input_box_3_4x6,D6,D,6,-260.000,-17.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,A1,A,1,-400.000,-63.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,A2,A,2,-372.000,-63.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,A3,A,3,-344.000,-63.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,A4,A,4,-316.000,-63.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,A5,A,5,-288.000,-63.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,A6,A,6,-260.000,-63.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,B1,B,1,-400.000,-91.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,B2,B,2,-372.000,-91.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,B3,B,3,-344.000,-91.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,B4,B,4,-316.000,-91.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,B5,B,5,-288.000,-91.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,B6,B,6,-260.000,-91.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,C1,C,1,-400.000,-119.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,C2,C,2,-372.000,-119.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,C3,C,3,-344.000,-119.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,C4,C,4,-316.000,-119.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,C5,C,5,-288.000,-119.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,C6,C,6,-260.000,-119.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,D1,D,1,-400.000,-147.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,D2,D,2,-372.000,-147.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,D3,D,3,-344.000,-147.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,D4,D,4,-316.000,-147.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,D5,D,5,-288.000,-147.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
input,input_box_4,input_box_4_4x6,D6,D,6,-260.000,-147.000,25.000,55.000,80.000,45.000,70.000,input_pick,v7.1 4x6 input box origin; coordinates generated from 28 mm pitch
output_A,category_A_output_box,category_A_output_box_4x6,A1,A,1,90.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,A2,A,2,118.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,A3,A,3,146.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,A4,A,4,174.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,A5,A,5,202.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,A6,A,6,230.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,B1,B,1,90.000,184.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,B2,B,2,118.000,184.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,B3,B,3,146.000,184.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,B4,B,4,174.000,184.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,B5,B,5,202.000,184.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,B6,B,6,230.000,184.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,C1,C,1,90.000,156.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,C2,C,2,118.000,156.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,C3,C,3,146.000,156.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,C4,C,4,174.000,156.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,C5,C,5,202.000,156.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,C6,C,6,230.000,156.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,D1,D,1,90.000,128.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,D2,D,2,118.000,128.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,D3,D,3,146.000,128.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,D4,D,4,174.000,128.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,D5,D,5,202.000,128.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_A,category_A_output_box,category_A_output_box_4x6,D6,D,6,230.000,128.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_B,category_B_output_box,category_B_output_box_4x6,A1,A,1,300.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_B,category_B_output_box,category_B_output_box_4x6,A2,A,2,328.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_B,category_B_output_box,category_B_output_box_4x6,A3,A,3,356.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_B,category_B_output_box,category_B_output_box_4x6,A4,A,4,384.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
output_B,category_B_output_box,category_B_output_box_4x6,A5,A,5,412.000,212.000,25.000,55.000,80.000,45.000,70.000,output_place,"v7.1 4x6 category output box origin; normal output full triggers category_hold, not manual review"
