run_id,sample_id,category,barcode_status,is_abnormal,input_box_id,input_slot_id,target_zone,target_box_id,target_slot_id,num_waypoints,xy_distance_mm,z_distance_mm,motion_time_s,pick_time_s,scan_time_s,place_time_s,queue_wait_time_s,operator_wait_time_s,alarm_wait_time_s,total_cycle_time_s,final_status,notes
baseline_multi_box_run,MBOX-044,Category A,success,no,input_box_2,D2,output_A,category_A_output_box,B5,12,601.763,750.000,6.047,1.200,0.550,1.200,0.000,0.000,0.000,8.997,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-045,Category B,success,no,input_box_2,D3,output_B,category_B_output_box,B5,12,776.529,850.000,7.149,1.200,0.550,1.200,0.000,0.000,0.000,10.099,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-046,Category C,success,no,input_box_2,D4,output_C,category_C_output_box,B5,12,536.454,850.000,6.399,1.200,0.550,1.200,0.000,0.000,0.000,9.349,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-047,Category D,success,no,input_box_2,D5,output_D,category_D_output_box,B5,12,715.863,750.000,6.404,1.200,0.550,1.200,0.000,0.000,0.000,9.354,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-048,Category A,success,no,input_box_2,D6,output_A,category_A_output_box,B6,12,521.409,850.000,6.352,1.200,0.550,1.200,0.000,0.000,0.000,9.302,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-049,Category B,success,no,input_box_3,A1,output_B,category_B_output_box,B6,12,853.201,850.000,7.388,1.200,0.550,1.200,0.000,0.000,0.000,10.338,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-050,Category C,success,no,input_box_3,A2,output_C,category_C_output_box,B6,12,611.969,750.000,6.079,1.200,0.550,1.200,0.000,0.000,0.000,9.029,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-051,Category D,success,no,input_box_3,A3,output_D,category_D_output_box,B6,12,790.461,850.000,7.192,1.200,0.550,1.200,0.000,0.000,0.000,10.142,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-052,Category A,success,no,input_box_3,A4,output_A,category_A_output_box,C1,12,425.370,850.000,6.052,1.200,0.550,1.200,0.000,0.000,0.000,9.002,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-053,Category B,success,no,input_box_3,A5,output_B,category_B_output_box,C1,12,598.516,750.000,6.037,1.200,0.550,1.200,0.000,0.000,0.000,8.987,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-054,Category C,success,no,input_box_3,A6,output_C,category_C_output_box,C1,12,376.906,850.000,5.900,1.200,0.550,1.200,0.000,0.000,0.000,8.850,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-055,Category D,success,no,input_box_3,B1,output_D,category_D_output_box,C1,12,715.375,850.000,6.958,1.200,0.550,1.200,0.000,0.000,0.000,9.908,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-056,Category A,success,no,input_box_3,B2,output_A,category_A_output_box,C2,12,508.230,750.000,5.755,1.200,0.550,1.200,0.000,0.000,0.000,8.705,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-057,Category B,success,no,input_box_3,B3,output_B,category_B_output_box,C2,12,682.823,850.000,6.856,1.200,0.550,1.200,0.000,0.000,0.000,9.806,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-058,unknown,success,yes,input_box_3,B4,manual_review,manual_review_bin,B1,12,557.380,850.000,6.464,1.200,0.550,1.200,0.000,0.000,0.000,9.414,placed_manual_review,abnormal
baseline_multi_box_run,MBOX-059,Category C,success,no,input_box_3,B5,output_C,category_C_output_box,C2,12,431.546,750.000,5.515,1.200,0.550,1.200,0.000,0.000,0.000,8.465,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-060,Category D,success,no,input_box_3,B6,output_D,category_D_output_box,C2,12,603.508,850.000,6.608,1.200,0.550,1.200,0.000,0.000,0.000,9.558,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-061,Category A,success,no,input_box_3,C1,output_A,category_A_output_box,C3,12,566.259,850.000,6.492,1.200,0.550,1.200,0.000,0.000,0.000,9.442,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-062,Category B,success,no,input_box_3,C2,output_B,category_B_output_box,C3,12,742.323,750.000,6.486,1.200,0.550,1.200,0.000,0.000,0.000,9.436,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-063,Category C,success,no,input_box_3,C3,output_C,category_C_output_box,C3,12,517.685,850.000,6.340,1.200,0.550,1.200,0.000,0.000,0.000,9.290,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-064,Category D,success,no,input_box_3,C4,output_D,category_D_output_box,C3,12,691.626,850.000,6.884,1.200,0.550,1.200,0.000,0.000,0.000,9.834,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-065,Category A,success,no,input_box_3,C5,output_A,category_A_output_box,C4,12,484.248,750.000,5.680,1.200,0.550,1.200,0.000,0.000,0.000,8.630,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-066,Category B,success,no,input_box_3,C6,output_B,category_B_output_box,C4,12,662.340,850.000,6.792,1.200,0.550,1.200,0.000,0.000,0.000,9.742,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-067,Category C,success,no,input_box_3,D1,output_C,category_C_output_box,C4,12,605.216,850.000,6.614,1.200,0.550,1.200,0.000,0.000,0.000,9.564,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-068,Category D,success,no,input_box_3,D2,output_D,category_D_output_box,C4,12,780.702,750.000,6.606,1.200,0.550,1.200,0.000,0.000,0.000,9.556,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-069,Category A,success,no,input_box_3,D3,output_A,category_A_output_box,C5,12,573.266,850.000,6.514,1.200,0.550,1.200,0.000,0.000,0.000,9.464,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-070,Category B,success,no,input_box_3,D4,output_B,category_B_output_box,C5,12,752.392,850.000,7.073,1.200,0.550,1.200,0.000,0.000,0.000,10.023,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-071,Category C,success,no,input_box_3,D5,output_C,category_C_output_box,C5,12,527.332,750.000,5.815,1.200,0.550,1.200,0.000,0.000,0.000,8.765,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-072,Category D,success,no,input_box_3,D6,output_D,category_D_output_box,C5,12,706.229,850.000,6.929,1.200,0.550,1.200,0.000,0.000,0.000,9.879,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-073,Category C,success,yes,input_box_4,A1,manual_review,manual_review_bin,B2,12,663.759,850.000,6.796,1.200,0.550,1.200,0.000,0.000,0.000,9.746,placed_manual_review,abnormal
baseline_multi_box_run,MBOX-074,Category A,success,no,input_box_4,A2,output_A,category_A_output_box,C6,12,644.840,750.000,6.182,1.200,0.550,1.200,0.000,0.000,0.000,9.132,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-075,Category B,success,no,input_box_4,A3,output_B,category_B_output_box,C6,12,826.103,850.000,7.304,1.200,0.550,1.200,0.000,0.000,0.000,10.254,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-076,Category C,success,no,input_box_4,A4,output_C,category_C_output_box,C6,12,601.885,850.000,6.603,1.200,0.550,1.200,0.000,0.000,0.000,9.553,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-077,Category D,success,no,input_box_4,A5,output_D,category_D_output_box,C6,12,783.537,750.000,6.615,1.200,0.550,1.200,0.000,0.000,0.000,9.565,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-078,Category A,success,no,input_box_4,A6,output_A,category_A_output_box,D1,12,411.682,850.000,6.009,1.200,0.550,1.200,0.000,0.000,0.000,8.959,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-079,Category B,success,no,input_box_4,B1,output_B,category_B_output_box,D1,12,745.891,850.000,7.053,1.200,0.550,1.200,0.000,0.000,0.000,10.003,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-080,Category C,success,no,input_box_4,B2,output_C,category_C_output_box,D1,12,547.116,750.000,5.876,1.200,0.550,1.200,0.000,0.000,0.000,8.826,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-081,Category D,success,no,input_box_4,B3,output_D,category_D_output_box,D1,12,716.151,850.000,6.960,1.200,0.550,1.200,0.000,0.000,0.000,9.910,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-082,Category A,success,no,input_box_4,B4,output_A,category_A_output_box,D2,12,498.709,850.000,6.281,1.200,0.550,1.200,0.000,0.000,0.000,9.231,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-083,Category B,success,no,input_box_4,B5,output_B,category_B_output_box,D2,12,684.350,750.000,6.305,1.200,0.550,1.200,0.000,0.000,0.000,9.255,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-084,Category C,success,no,input_box_4,B6,output_C,category_C_output_box,D2,12,487.372,850.000,6.245,1.200,0.550,1.200,0.000,0.000,0.000,9.195,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-085,Category D,success,no,input_box_4,C1,output_D,category_D_output_box,D2,12,804.728,850.000,7.237,1.200,0.550,1.200,0.000,0.000,0.000,10.187,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-086,Category A,success,no,input_box_4,C2,output_A,category_A_output_box,D3,12,587.000,750.000,6.001,1.200,0.550,1.200,0.000,0.000,0.000,8.951,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-087,Category B,success,no,input_box_4,C3,output_B,category_B_output_box,D3,12,772.038,850.000,7.135,1.200,0.550,1.200,0.000,0.000,0.000,10.085,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-088,Category C,success,no,input_box_4,C4,output_C,category_C_output_box,D3,12,570.344,850.000,6.505,1.200,0.550,1.200,0.000,0.000,0.000,9.455,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-089,Category D,success,no,input_box_4,C5,output_D,category_D_output_box,D3,12,748.187,750.000,6.505,1.200,0.550,1.200,0.000,0.000,0.000,9.455,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-090,Category A,success,no,input_box_4,C6,output_A,category_A_output_box,D4,12,536.780,850.000,6.400,1.200,0.550,1.200,0.000,0.000,0.000,9.350,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-091,Category D,success,yes,input_box_4,D1,manual_review,manual_review_bin,B3,12,706.531,850.000,6.930,1.200,0.550,1.200,0.000,0.000,0.000,9.880,placed_manual_review,abnormal
baseline_multi_box_run,MBOX-092,Category B,success,no,input_box_4,D2,output_B,category_B_output_box,D4,12,839.317,750.000,6.790,1.200,0.550,1.200,0.000,0.000,0.000,9.740,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-093,Category C,success,no,input_box_4,D3,output_C,category_C_output_box,D4,12,635.244,850.000,6.707,1.200,0.550,1.200,0.000,0.000,0.000,9.657,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-094,Category D,success,no,input_box_4,D4,output_D,category_D_output_box,D4,12,814.607,850.000,7.268,1.200,0.550,1.200,0.000,0.000,0.000,10.218,placed_output,normal completed trajectory
baseline_multi_box_run,MBOX-095,Category A,success,no,input_box_4,D5,output_A,category_A_output_box,D5,12,603.161,750.000,6.052,1.200,0.550,1.200,0.000,0.000,0.000,9.002,placed_output,normal completed trajectory
