animation_id,frame_id,run_id,sample_id,state,category,x_mm,y_mm,target_zone,event_type,event_label,notes
baseline_multi_box_sorting,65,baseline_multi_box_run,MBOX-035,SCAN_BARCODE,Category A,-140.000,60.000,output_A,scan,scan barcode,scan and classify
baseline_multi_box_sorting,66,baseline_multi_box_run,MBOX-036,APPROACH_INPUT_SLOT,Category B,-260.000,169.000,output_B,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,67,baseline_multi_box_run,MBOX-036,MOVE_SAFE_ABOVE_TARGET,Category B,356.000,184.000,output_B,move_to_output,move to target,move above target
baseline_multi_box_sorting,68,baseline_multi_box_run,MBOX-037,MOVE_SAFE_ABOVE_SCAN,manual_review,-140.000,60.000,manual_review,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,69,baseline_multi_box_run,MBOX-037,PLACE_TUBE,manual_review,-152.000,-286.000,manual_review,place_to_manual_review,place to manual review,place tube
baseline_multi_box_sorting,70,baseline_multi_box_run,MBOX-037,RETREAT_TO_SAFE_Z,manual_review,-152.000,-286.000,manual_review,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,71,baseline_multi_box_run,MBOX-038,CLASSIFY_SAMPLE,Category C,-140.000,60.000,output_C,classify,classify sample,scan and classify
baseline_multi_box_sorting,72,baseline_multi_box_run,MBOX-039,PICK_TUBE,Category D,-344.000,141.000,output_D,pick,pick tube,pick tube
baseline_multi_box_sorting,73,baseline_multi_box_run,MBOX-039,APPROACH_TARGET_SLOT,Category D,356.000,-26.000,output_D,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,74,baseline_multi_box_run,MBOX-040,APPROACH_SCAN_STATION,Category A,-140.000,60.000,output_A,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,75,baseline_multi_box_run,MBOX-041,MOVE_SAFE_ABOVE_INPUT,Category B,-288.000,141.000,output_B,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,76,baseline_multi_box_run,MBOX-041,LIFT_TO_SAFE_Z_AFTER_SCAN,Category B,-140.000,60.000,output_B,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,77,baseline_multi_box_run,MBOX-042,LIFT_TO_SAFE_Z,Category C,-260.000,141.000,output_C,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,78,baseline_multi_box_run,MBOX-042,PLACE_TUBE,Category C,174.000,-26.000,output_C,place_to_output,place to Category C,place tube
baseline_multi_box_sorting,79,baseline_multi_box_run,MBOX-043,SCAN_BARCODE,Category D,-140.000,60.000,output_D,scan,scan barcode,scan and classify
baseline_multi_box_sorting,80,baseline_multi_box_run,MBOX-044,APPROACH_INPUT_SLOT,Category A,-372.000,113.000,output_A,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,81,baseline_multi_box_run,MBOX-044,MOVE_SAFE_ABOVE_TARGET,Category A,202.000,184.000,output_A,move_to_output,move to target,move above target
baseline_multi_box_sorting,82,baseline_multi_box_run,MBOX-045,MOVE_SAFE_ABOVE_SCAN,Category B,-140.000,60.000,output_B,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,83,baseline_multi_box_run,MBOX-045,RETREAT_TO_SAFE_Z,Category B,412.000,184.000,output_B,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,84,baseline_multi_box_run,MBOX-046,CLASSIFY_SAMPLE,Category C,-140.000,60.000,output_C,classify,classify sample,scan and classify
baseline_multi_box_sorting,85,baseline_multi_box_run,MBOX-047,PICK_TUBE,Category D,-288.000,113.000,output_D,pick,pick tube,pick tube
baseline_multi_box_sorting,86,baseline_multi_box_run,MBOX-047,APPROACH_TARGET_SLOT,Category D,412.000,-26.000,output_D,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,87,baseline_multi_box_run,MBOX-048,APPROACH_SCAN_STATION,Category A,-140.000,60.000,output_A,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,88,baseline_multi_box_run,MBOX-049,MOVE_SAFE_ABOVE_INPUT,Category B,-400.000,67.000,output_B,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,89,baseline_multi_box_run,MBOX-049,LIFT_TO_SAFE_Z_AFTER_SCAN,Category B,-140.000,60.000,output_B,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,90,baseline_multi_box_run,MBOX-050,LIFT_TO_SAFE_Z,Category C,-372.000,67.000,output_C,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,91,baseline_multi_box_run,MBOX-050,PLACE_TUBE,Category C,230.000,-26.000,output_C,place_to_output,place to Category C,place tube
baseline_multi_box_sorting,92,baseline_multi_box_run,MBOX-051,SCAN_BARCODE,Category D,-140.000,60.000,output_D,scan,scan barcode,scan and classify
baseline_multi_box_sorting,93,baseline_multi_box_run,MBOX-052,APPROACH_INPUT_SLOT,Category A,-316.000,67.000,output_A,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,94,baseline_multi_box_run,MBOX-052,MOVE_SAFE_ABOVE_TARGET,Category A,90.000,156.000,output_A,move_to_output,move to target,move above target
baseline_multi_box_sorting,95,baseline_multi_box_run,MBOX-053,MOVE_SAFE_ABOVE_SCAN,Category B,-140.000,60.000,output_B,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,96,baseline_multi_box_run,MBOX-053,RETREAT_TO_SAFE_Z,Category B,300.000,156.000,output_B,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,97,baseline_multi_box_run,MBOX-054,CLASSIFY_SAMPLE,Category C,-140.000,60.000,output_C,classify,classify sample,scan and classify
