run_id,zone,slot_id,occupied_by_sample_id,status,notes
forced_manual_review_full,category_c_bin,B1,TUBE-017,occupied,capacity=6; Category C
forced_manual_review_full,category_c_bin,B2,TUBE-021,occupied,capacity=6; Category C
forced_manual_review_full,category_c_bin,B3,,empty,capacity=6; Category C
forced_manual_review_full,category_d_bin,A1,TUBE-005,occupied,capacity=6; Category D
forced_manual_review_full,category_d_bin,A2,TUBE-009,occupied,capacity=6; Category D
forced_manual_review_full,category_d_bin,A3,TUBE-013,occupied,capacity=6; Category D
forced_manual_review_full,category_d_bin,B1,TUBE-018,occupied,capacity=6; Category D
forced_manual_review_full,category_d_bin,B2,TUBE-022,occupied,capacity=6; Category D
forced_manual_review_full,category_d_bin,B3,,empty,capacity=6; Category D
forced_manual_review_full,manual_review_bin,A1,TUBE-003,occupied,capacity=1; Manual review
forced_manual_review_full,manual_review_bin,A2,,disabled_by_scenario,capacity=1; Manual review
forced_manual_review_full,manual_review_bin,A3,,disabled_by_scenario,capacity=1; Manual review
forced_manual_review_full,manual_review_bin,B1,,disabled_by_scenario,capacity=1; Manual review
forced_manual_review_full,manual_review_bin,B2,,disabled_by_scenario,capacity=1; Manual review
forced_manual_review_full,manual_review_bin,B3,,disabled_by_scenario,capacity=1; Manual review
