trajectory_id,sample_id,step_order,state,x_mm,y_mm,z_mm,within_x_range,within_y_range,within_z_range,check_status,notes
traj_009,TUBE-009,3,PICK_TUBE,-174.000,314.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,4,LIFT_TO_SAFE_Z,-174.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,9,MOVE_SAFE_ABOVE_TARGET,250.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,10,APPROACH_TARGET_SLOT,250.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,11,PLACE_TUBE,250.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_009,TUBE-009,12,RETREAT_TO_SAFE_Z,250.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,1,MOVE_SAFE_ABOVE_INPUT,-146.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,2,APPROACH_INPUT_SLOT,-146.000,314.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,3,PICK_TUBE,-146.000,314.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,4,LIFT_TO_SAFE_Z,-146.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,9,MOVE_SAFE_ABOVE_TARGET,118.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,10,APPROACH_TARGET_SLOT,118.000,-146.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,11,PLACE_TUBE,118.000,-146.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_010,TUBE-010,12,RETREAT_TO_SAFE_Z,118.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,1,MOVE_SAFE_ABOVE_INPUT,-118.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
