frame_id,sample_id,state,x_mm,y_mm,target_zone,event_label,notes
158,TUBE-014,APPROACH_INPUT_SLOT,-202.000,286.000,category_a_bin,Category A,approach input slot
159,TUBE-014,PICK_TUBE,-202.000,286.000,category_a_bin,Category A,grip 75 mm tube
160,TUBE-014,LIFT_TO_SAFE_Z,-202.000,286.000,category_a_bin,Category A,lift picked tube
161,TUBE-014,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_a_bin,Category A,move above scan station
162,TUBE-014,APPROACH_SCAN_STATION,-92.000,170.000,category_a_bin,Category A,present tube to scanner
163,TUBE-014,SCAN_BARCODE,-92.000,170.000,category_a_bin,Category A,scan and classify sample
164,TUBE-014,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_a_bin,Category A,lift after scan
165,TUBE-014,MOVE_SAFE_ABOVE_TARGET,62.000,-174.000,category_a_bin,Category A,move above selected target
166,TUBE-014,APPROACH_TARGET_SLOT,62.000,-174.000,category_a_bin,Category A,approach target slot
167,TUBE-014,PLACE_TUBE,62.000,-174.000,category_a_bin,Category A,place 75 mm tube
168,TUBE-014,RETREAT_TO_SAFE_Z,62.000,-174.000,category_a_bin,Category A,retreat after place
169,TUBE-015,MOVE_SAFE_ABOVE_INPUT,-174.000,286.000,category_b_bin,Category B,above input slot
170,TUBE-015,APPROACH_INPUT_SLOT,-174.000,286.000,category_b_bin,Category B,approach input slot
171,TUBE-015,PICK_TUBE,-174.000,286.000,category_b_bin,Category B,grip 100 mm tube
172,TUBE-015,LIFT_TO_SAFE_Z,-174.000,286.000,category_b_bin,Category B,lift picked tube
173,TUBE-015,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_b_bin,Category B,move above scan station
174,TUBE-015,APPROACH_SCAN_STATION,-92.000,170.000,category_b_bin,Category B,present tube to scanner
175,TUBE-015,SCAN_BARCODE,-92.000,170.000,category_b_bin,Category B,scan and classify sample
176,TUBE-015,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_b_bin,Category B,lift after scan
177,TUBE-015,MOVE_SAFE_ABOVE_TARGET,222.000,-174.000,category_b_bin,Category B,move above selected target
178,TUBE-015,APPROACH_TARGET_SLOT,222.000,-174.000,category_b_bin,Category B,approach target slot
179,TUBE-015,PLACE_TUBE,222.000,-174.000,category_b_bin,Category B,place 100 mm tube
180,TUBE-015,RETREAT_TO_SAFE_Z,222.000,-174.000,category_b_bin,Category B,retreat after place
181,TUBE-016,MOVE_SAFE_ABOVE_INPUT,-146.000,286.000,manual_review_bin,scan_failed / manual_review,above input slot
182,TUBE-016,APPROACH_INPUT_SLOT,-146.000,286.000,manual_review_bin,scan_failed / manual_review,approach input slot
183,TUBE-016,PICK_TUBE,-146.000,286.000,manual_review_bin,scan_failed / manual_review,grip 75 mm tube
184,TUBE-016,LIFT_TO_SAFE_Z,-146.000,286.000,manual_review_bin,scan_failed / manual_review,lift picked tube
185,TUBE-016,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,manual_review_bin,scan_failed / manual_review,move above scan station
186,TUBE-016,APPROACH_SCAN_STATION,-92.000,170.000,manual_review_bin,scan_failed / manual_review,present tube to scanner
187,TUBE-016,SCAN_BARCODE,-92.000,170.000,manual_review_bin,scan_failed / manual_review,scan and classify sample
188,TUBE-016,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,manual_review_bin,scan_failed / manual_review,lift after scan
