run_id,sample_id,input_box_id,input_slot_id,tube_height_mm,category,barcode_status,is_abnormal,target_zone,target_box_id,target_slot_id,num_waypoints,estimated_xy_distance_mm,estimated_z_distance_mm,uses_manual_review,was_queued,queue_wait_event,final_status,notes
baseline_multi_box_run,MBOX-046,input_box_2,D4,75,Category C,success,no,output_C,category_C_output_box,B5,12,536.454,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0046_MBOX-046
baseline_multi_box_run,MBOX-047,input_box_2,D5,100,Category D,success,no,output_D,category_D_output_box,B5,12,715.863,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0047_MBOX-047
baseline_multi_box_run,MBOX-048,input_box_2,D6,75,Category A,success,no,output_A,category_A_output_box,B6,12,521.409,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0048_MBOX-048
baseline_multi_box_run,MBOX-049,input_box_3,A1,75,Category B,success,no,output_B,category_B_output_box,B6,12,853.201,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0049_MBOX-049
baseline_multi_box_run,MBOX-050,input_box_3,A2,100,Category C,success,no,output_C,category_C_output_box,B6,12,611.969,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0050_MBOX-050
baseline_multi_box_run,MBOX-051,input_box_3,A3,75,Category D,success,no,output_D,category_D_output_box,B6,12,790.461,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0051_MBOX-051
baseline_multi_box_run,MBOX-052,input_box_3,A4,75,Category A,success,no,output_A,category_A_output_box,C1,12,425.370,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0052_MBOX-052
baseline_multi_box_run,MBOX-053,input_box_3,A5,100,Category B,success,no,output_B,category_B_output_box,C1,12,598.516,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0053_MBOX-053
baseline_multi_box_run,MBOX-054,input_box_3,A6,75,Category C,success,no,output_C,category_C_output_box,C1,12,376.906,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0054_MBOX-054
baseline_multi_box_run,MBOX-055,input_box_3,B1,75,Category D,success,no,output_D,category_D_output_box,C1,12,715.375,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0055_MBOX-055
baseline_multi_box_run,MBOX-056,input_box_3,B2,100,Category A,success,no,output_A,category_A_output_box,C2,12,508.230,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0056_MBOX-056
baseline_multi_box_run,MBOX-057,input_box_3,B3,75,Category B,success,no,output_B,category_B_output_box,C2,12,682.823,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0057_MBOX-057
baseline_multi_box_run,MBOX-058,input_box_3,B4,75,unknown,success,yes,manual_review,manual_review_bin,B1,12,557.380,850.000,yes,no,,placed_manual_review,trajectory_id=baseline_multi_box_run_0058_MBOX-058
baseline_multi_box_run,MBOX-059,input_box_3,B5,100,Category C,success,no,output_C,category_C_output_box,C2,12,431.546,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0059_MBOX-059
baseline_multi_box_run,MBOX-060,input_box_3,B6,75,Category D,success,no,output_D,category_D_output_box,C2,12,603.508,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0060_MBOX-060
baseline_multi_box_run,MBOX-061,input_box_3,C1,75,Category A,success,no,output_A,category_A_output_box,C3,12,566.259,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0061_MBOX-061
baseline_multi_box_run,MBOX-062,input_box_3,C2,100,Category B,success,no,output_B,category_B_output_box,C3,12,742.323,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0062_MBOX-062
baseline_multi_box_run,MBOX-063,input_box_3,C3,75,Category C,success,no,output_C,category_C_output_box,C3,12,517.685,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0063_MBOX-063
baseline_multi_box_run,MBOX-064,input_box_3,C4,75,Category D,success,no,output_D,category_D_output_box,C3,12,691.626,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0064_MBOX-064
baseline_multi_box_run,MBOX-065,input_box_3,C5,100,Category A,success,no,output_A,category_A_output_box,C4,12,484.248,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0065_MBOX-065
baseline_multi_box_run,MBOX-066,input_box_3,C6,75,Category B,success,no,output_B,category_B_output_box,C4,12,662.340,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0066_MBOX-066
baseline_multi_box_run,MBOX-067,input_box_3,D1,75,Category C,success,no,output_C,category_C_output_box,C4,12,605.216,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0067_MBOX-067
