run_id,trajectory_id,sample_id,step_order,state,input_box_id,input_slot_id,target_zone,target_box_id,target_slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,category_status,pending_queue_action,operator_event,expected_result,notes
baseline_multi_box_run,baseline_multi_box_run_0004_MBOX-004,MBOX-004,9,MOVE_SAFE_ABOVE_TARGET,input_box_1,A4,output_D,category_D_output_box,A1,300.000,2.000,200.000,hold,off,available,none,,placed_output,move above target
baseline_multi_box_run,baseline_multi_box_run_0004_MBOX-004,MBOX-004,10,APPROACH_TARGET_SLOT,input_box_1,A4,output_D,category_D_output_box,A1,300.000,2.000,130.000,hold,off,available,none,,placed_output,approach target slot
baseline_multi_box_run,baseline_multi_box_run_0004_MBOX-004,MBOX-004,11,PLACE_TUBE,input_box_1,A4,output_D,category_D_output_box,A1,300.000,2.000,45.000,open,off,available,none,,placed_output,place tube
baseline_multi_box_run,baseline_multi_box_run_0004_MBOX-004,MBOX-004,12,RETREAT_TO_SAFE_Z,input_box_1,A4,output_D,category_D_output_box,A1,300.000,2.000,200.000,open,off,available,none,,placed_output,retreat after place
baseline_multi_box_run,baseline_multi_box_run_0005_MBOX-005,MBOX-005,1,MOVE_SAFE_ABOVE_INPUT,input_box_1,A5,manual_review,manual_review_bin,A1,-288.000,327.000,200.000,open,off,not_applicable,none,,placed_manual_review,move to input safe height
baseline_multi_box_run,baseline_multi_box_run_0005_MBOX-005,MBOX-005,2,APPROACH_INPUT_SLOT,input_box_1,A5,manual_review,manual_review_bin,A1,-288.000,327.000,130.000,open,off,not_applicable,none,,placed_manual_review,approach input slot
baseline_multi_box_run,baseline_multi_box_run_0005_MBOX-005,MBOX-005,3,PICK_TUBE,input_box_1,A5,manual_review,manual_review_bin,A1,-288.000,327.000,80.000,close,off,not_applicable,none,,placed_manual_review,pick tube
baseline_multi_box_run,baseline_multi_box_run_0005_MBOX-005,MBOX-005,4,LIFT_TO_SAFE_Z,input_box_1,A5,manual_review,manual_review_bin,A1,-288.000,327.000,200.000,hold,off,not_applicable,none,,placed_manual_review,lift picked tube
baseline_multi_box_run,baseline_multi_box_run_0005_MBOX-005,MBOX-005,5,MOVE_SAFE_ABOVE_SCAN,input_box_1,A5,manual_review,manual_review_bin,A1,-140.000,60.000,200.000,hold,off,not_applicable,none,,placed_manual_review,move above scan station
baseline_multi_box_run,baseline_multi_box_run_0005_MBOX-005,MBOX-005,6,APPROACH_SCAN_STATION,input_box_1,A5,manual_review,manual_review_bin,A1,-140.000,60.000,75.000,hold,off,not_applicable,none,,placed_manual_review,approach scan station
