run_id,step_id,sample_id,input_box_id,input_slot_id,barcode_status,category,is_abnormal,current_category_status,selected_action,target_zone,target_box_id,target_slot_id,pending_queue_action,operator_event,system_state,notes
forced_category_A_full,31,MBOX-031,input_box_2,B1,success,Category A,no,held,SKIP_HELD_CATEGORY,,,,queued,,CONTINUE_OTHER_CATEGORIES,normal sample skipped because category output box is held
forced_category_A_full,32,MBOX-032,input_box_2,B2,success,Category B,no,available,PLACE_TO_OUTPUT,output_B,category_B_output_box,B2,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,33,MBOX-033,input_box_2,B3,success,Category C,no,available,PLACE_TO_OUTPUT,output_C,category_C_output_box,B2,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,34,MBOX-034,input_box_2,B4,success,Category D,no,available,PLACE_TO_OUTPUT,output_D,category_D_output_box,B2,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,35,MBOX-035,input_box_2,B5,success,Category A,no,held,SKIP_HELD_CATEGORY,,,,queued,,CONTINUE_OTHER_CATEGORIES,normal sample skipped because category output box is held
forced_category_A_full,36,MBOX-036,input_box_2,B6,success,Category B,no,available,PLACE_TO_OUTPUT,output_B,category_B_output_box,B3,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,37,MBOX-037,input_box_2,C1,invalid,unknown,yes,not_applicable,MOVE_TO_MANUAL_REVIEW,manual_review,manual_review_bin,A3,none,,COMPLETE_SAMPLE,true abnormal sample routed to manual review
forced_category_A_full,38,MBOX-038,input_box_2,C2,success,Category C,no,available,PLACE_TO_OUTPUT,output_C,category_C_output_box,B3,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,39,MBOX-039,input_box_2,C3,success,Category D,no,available,PLACE_TO_OUTPUT,output_D,category_D_output_box,B3,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,40,MBOX-040,input_box_2,C4,success,Category A,no,held,SKIP_HELD_CATEGORY,,,,queued,,CONTINUE_OTHER_CATEGORIES,normal sample skipped because category output box is held
forced_category_A_full,41,MBOX-041,input_box_2,C5,success,Category B,no,available,PLACE_TO_OUTPUT,output_B,category_B_output_box,B4,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,42,MBOX-042,input_box_2,C6,success,Category C,no,available,PLACE_TO_OUTPUT,output_C,category_C_output_box,B4,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,43,MBOX-043,input_box_2,D1,success,Category D,no,available,PLACE_TO_OUTPUT,output_D,category_D_output_box,B4,none,,COMPLETE_SAMPLE,normal sample placed into category output box
forced_category_A_full,44,MBOX-044,input_box_2,D2,success,Category A,no,held,SKIP_HELD_CATEGORY,,,,queued,,CONTINUE_OTHER_CATEGORIES,normal sample skipped because category output box is held
