trajectory_id,sample_id,step_order,state,zone,slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,expected_result,notes
traj_007,TUBE-007,11,PLACE_TUBE,category_b_bin,A2,250.000,-146.000,70.000,open,idle,,place 100 mm tube
traj_007,TUBE-007,12,RETREAT_TO_SAFE_Z,category_b_bin,A2,250.000,-146.000,180.000,open,idle,,retreat after place
traj_008,TUBE-008,1,MOVE_SAFE_ABOVE_INPUT,input,B2,-202.000,314.000,180.000,open,idle,,above input slot
traj_008,TUBE-008,2,APPROACH_INPUT_SLOT,input,B2,-202.000,314.000,120.000,open,idle,,approach input slot
traj_008,TUBE-008,3,PICK_TUBE,input,B2,-202.000,314.000,55.000,close,idle,,grip 75 mm tube
traj_008,TUBE-008,4,LIFT_TO_SAFE_Z,input,B2,-202.000,314.000,180.000,hold,idle,,lift picked tube
traj_008,TUBE-008,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_008,TUBE-008,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_008,TUBE-008,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category C,scan and classify sample
traj_008,TUBE-008,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_008,TUBE-008,9,MOVE_SAFE_ABOVE_TARGET,category_c_bin,A2,90.000,-316.000,180.000,hold,idle,,move above selected target
traj_008,TUBE-008,10,APPROACH_TARGET_SLOT,category_c_bin,A2,90.000,-316.000,120.000,hold,idle,,approach target slot
traj_008,TUBE-008,11,PLACE_TUBE,category_c_bin,A2,90.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_008,TUBE-008,12,RETREAT_TO_SAFE_Z,category_c_bin,A2,90.000,-316.000,180.000,open,idle,,retreat after place
traj_009,TUBE-009,1,MOVE_SAFE_ABOVE_INPUT,input,B3,-174.000,314.000,180.000,open,idle,,above input slot
traj_009,TUBE-009,2,APPROACH_INPUT_SLOT,input,B3,-174.000,314.000,120.000,open,idle,,approach input slot
traj_009,TUBE-009,3,PICK_TUBE,input,B3,-174.000,314.000,55.000,close,idle,,grip 75 mm tube
traj_009,TUBE-009,4,LIFT_TO_SAFE_Z,input,B3,-174.000,314.000,180.000,hold,idle,,lift picked tube
traj_009,TUBE-009,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_009,TUBE-009,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_009,TUBE-009,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category D,scan and classify sample
traj_009,TUBE-009,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_009,TUBE-009,9,MOVE_SAFE_ABOVE_TARGET,category_d_bin,A2,250.000,-316.000,180.000,hold,idle,,move above selected target
traj_009,TUBE-009,10,APPROACH_TARGET_SLOT,category_d_bin,A2,250.000,-316.000,120.000,hold,idle,,approach target slot
traj_009,TUBE-009,11,PLACE_TUBE,category_d_bin,A2,250.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_009,TUBE-009,12,RETREAT_TO_SAFE_Z,category_d_bin,A2,250.000,-316.000,180.000,open,idle,,retreat after place
traj_010,TUBE-010,1,MOVE_SAFE_ABOVE_INPUT,input,B4,-146.000,314.000,180.000,open,idle,,above input slot
traj_010,TUBE-010,2,APPROACH_INPUT_SLOT,input,B4,-146.000,314.000,120.000,open,idle,,approach input slot
traj_010,TUBE-010,3,PICK_TUBE,input,B4,-146.000,314.000,55.000,close,idle,,grip 75 mm tube
traj_010,TUBE-010,4,LIFT_TO_SAFE_Z,input,B4,-146.000,314.000,180.000,hold,idle,,lift picked tube
traj_010,TUBE-010,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_010,TUBE-010,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_010,TUBE-010,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category A,scan and classify sample
traj_010,TUBE-010,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_010,TUBE-010,9,MOVE_SAFE_ABOVE_TARGET,category_a_bin,A3,118.000,-146.000,180.000,hold,idle,,move above selected target
traj_010,TUBE-010,10,APPROACH_TARGET_SLOT,category_a_bin,A3,118.000,-146.000,120.000,hold,idle,,approach target slot
traj_010,TUBE-010,11,PLACE_TUBE,category_a_bin,A3,118.000,-146.000,45.000,open,idle,,place 75 mm tube
traj_010,TUBE-010,12,RETREAT_TO_SAFE_Z,category_a_bin,A3,118.000,-146.000,180.000,open,idle,,retreat after place
traj_011,TUBE-011,1,MOVE_SAFE_ABOVE_INPUT,input,B5,-118.000,314.000,180.000,open,idle,,above input slot
traj_011,TUBE-011,2,APPROACH_INPUT_SLOT,input,B5,-118.000,314.000,120.000,open,idle,,approach input slot
traj_011,TUBE-011,3,PICK_TUBE,input,B5,-118.000,314.000,80.000,close,idle,,grip 100 mm tube
traj_011,TUBE-011,4,LIFT_TO_SAFE_Z,input,B5,-118.000,314.000,180.000,hold,idle,,lift picked tube
traj_011,TUBE-011,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_011,TUBE-011,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_011,TUBE-011,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category B,scan and classify sample
traj_011,TUBE-011,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_011,TUBE-011,9,MOVE_SAFE_ABOVE_TARGET,category_b_bin,A3,278.000,-146.000,180.000,hold,idle,,move above selected target
traj_011,TUBE-011,10,APPROACH_TARGET_SLOT,category_b_bin,A3,278.000,-146.000,120.000,hold,idle,,approach target slot
traj_011,TUBE-011,11,PLACE_TUBE,category_b_bin,A3,278.000,-146.000,70.000,open,idle,,place 100 mm tube
traj_011,TUBE-011,12,RETREAT_TO_SAFE_Z,category_b_bin,A3,278.000,-146.000,180.000,open,idle,,retreat after place
traj_012,TUBE-012,1,MOVE_SAFE_ABOVE_INPUT,input,B6,-90.000,314.000,180.000,open,idle,,above input slot
traj_012,TUBE-012,2,APPROACH_INPUT_SLOT,input,B6,-90.000,314.000,120.000,open,idle,,approach input slot
traj_012,TUBE-012,3,PICK_TUBE,input,B6,-90.000,314.000,55.000,close,idle,,grip 75 mm tube
traj_012,TUBE-012,4,LIFT_TO_SAFE_Z,input,B6,-90.000,314.000,180.000,hold,idle,,lift picked tube
