scenario_id,task_id,tube_id,segment_index,motion_type,axis_mode,segment_distance_mm,delta_z_mm,time_model,segment_time_s,time_category,notes
baseline,TASK-7B1-007,TUBE-7B1-007,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,9,xy_move_at_safe_z,xy_axes,402.647,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.35,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-007,TUBE-7B1-007,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,1,xy_move_at_safe_z,xy_axes,219.659,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.828,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,5,xy_move_at_safe_z,xy_axes,233.345,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.867,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,9,xy_move_at_safe_z,xy_axes,205.244,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.786,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-008,TUBE-7B1-008,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
