scenario_id,task_id,tube_id,time_s,vx_mm_s,vy_mm_s,vz_mm_s,speed_xy_mm_s,motion_type,notes
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.006,267.753,17.462,0.0,268.322,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.026,267.753,17.462,0.0,268.322,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.046,267.753,17.462,0.0,268.322,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.066,267.753,17.462,0.0,268.322,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.086,267.753,17.462,0.0,268.322,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.105,267.753,17.462,0.0,268.322,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.105,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.125,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.145,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.165,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.185,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.205,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.225,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.245,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.265,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.285,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.305,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.325,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.345,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.365,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.385,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.405,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.425,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.445,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.465,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.485,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.505,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.525,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.545,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.565,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.585,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.605,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.625,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.645,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.665,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.685,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.705,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.713,0.0,0.0,-90.461,0.0,z_descend,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.713,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.733,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.753,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.773,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.793,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.813,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.833,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.853,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.873,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.893,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
