scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,conservative_pid,5.262,2.388,2.608,11.432,6.121,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,aggressive_pid,0.03,0.02,0.027,0.431,0.292,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,balanced_pid,0.04,0.024,0.048,0.513,0.348,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,conservative_pid,5.764,2.432,2.561,12.192,6.503,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,aggressive_pid,0.035,0.028,0.027,0.504,0.342,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,balanced_pid,0.077,0.1,0.048,1.027,1.112,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,conservative_pid,3.839,4.744,2.577,9.961,10.291,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,aggressive_pid,0.04,0.018,0.027,0.585,0.258,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,balanced_pid,0.05,0.078,0.047,0.697,1.011,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,conservative_pid,4.773,4.535,2.525,11.384,10.511,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,aggressive_pid,0.018,0.057,0.028,0.252,0.613,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,balanced_pid,0.019,0.093,0.048,0.264,1.058,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,conservative_pid,3.934,4.214,2.608,11.278,10.488,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,aggressive_pid,0.019,0.0,0.027,0.271,0.006,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,balanced_pid,0.093,0.043,0.047,1.354,0.629,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,conservative_pid,5.001,4.039,2.543,12.533,10.381,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,aggressive_pid,0.036,0.023,0.027,0.522,0.325,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,balanced_pid,0.076,0.07,0.048,1.063,0.764,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,conservative_pid,4.07,4.668,2.567,10.32,10.163,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,aggressive_pid,0.017,0.007,0.027,0.254,0.106,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,balanced_pid,0.087,0.087,0.047,1.272,0.982,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,conservative_pid,4.908,4.228,2.54,11.778,10.214,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,balanced_pid,0.081,0.069,0.049,1.138,0.885,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,conservative_pid,4.163,3.818,2.625,11.836,10.179,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,aggressive_pid,0.01,0.041,0.027,0.146,0.602,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,balanced_pid,0.024,0.093,0.047,0.282,1.023,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,conservative_pid,5.162,3.697,2.552,12.134,9.936,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,aggressive_pid,0.016,0.031,0.028,0.216,0.432,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,balanced_pid,0.025,0.054,0.05,0.257,0.551,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,conservative_pid,3.11,4.166,2.665,8.138,9.094,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,aggressive_pid,0.042,0.029,0.027,0.598,0.412,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,balanced_pid,0.056,0.075,0.048,0.775,0.915,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,conservative_pid,4.307,4.392,2.577,10.239,9.516,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,aggressive_pid,0.003,0.04,0.028,0.044,0.529,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,balanced_pid,0.058,0.059,0.049,0.819,0.686,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,conservative_pid,4.141,3.985,2.615,10.895,9.392,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,aggressive_pid,0.005,0.014,0.029,0.064,0.193,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,balanced_pid,0.034,0.033,0.05,0.447,0.404,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,conservative_pid,3.241,3.467,2.704,10.324,9.333,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,aggressive_pid,0.049,0.014,0.028,0.692,0.196,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,balanced_pid,0.073,0.066,0.049,0.898,0.904,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,conservative_pid,4.647,3.294,2.618,11.846,8.805,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,aggressive_pid,0.007,0.012,0.029,0.103,0.164,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,balanced_pid,0.071,0.081,0.05,0.861,0.861,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,conservative_pid,3.432,3.762,2.676,8.958,8.388,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,balanced_pid,0.008,0.086,0.049,0.084,0.964,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,conservative_pid,4.363,3.568,2.631,10.935,9.041,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,aggressive_pid,0.04,0.003,0.029,0.547,0.04,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,balanced_pid,0.083,0.078,0.051,1.114,0.926,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,conservative_pid,3.402,3.04,2.722,10.814,9.02,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,aggressive_pid,0.044,0.002,0.027,0.65,0.027,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,balanced_pid,0.119,0.011,0.047,1.152,0.144,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,conservative_pid,6.541,0.489,2.525,12.053,1.402,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,aggressive_pid,0.014,0.01,0.027,0.205,0.147,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,balanced_pid,0.085,0.051,0.048,1.026,0.736,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,conservative_pid,5.602,2.325,2.58,10.882,6.811,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-037,TUBE-7B1-037,aggressive_pid,0.062,0.02,0.027,0.659,0.286,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-037,TUBE-7B1-037,balanced_pid,0.111,0.028,0.047,1.126,0.371,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-037,TUBE-7B1-037,conservative_pid,6.119,1.981,2.54,11.276,4.896,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-038,TUBE-7B1-038,aggressive_pid,0.021,0.003,0.028,0.21,0.044,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-038,TUBE-7B1-038,balanced_pid,0.076,0.016,0.05,1.034,0.221,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-038,TUBE-7B1-038,conservative_pid,5.071,0.624,2.672,10.795,2.052,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-039,TUBE-7B1-039,aggressive_pid,0.044,0.002,0.028,0.62,0.025,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-039,TUBE-7B1-039,balanced_pid,0.113,0.007,0.049,1.263,0.084,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-039,TUBE-7B1-039,conservative_pid,5.65,0.624,2.625,12.258,2.222,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-040,TUBE-7B1-040,aggressive_pid,0.065,0.017,0.027,0.65,0.247,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-040,TUBE-7B1-040,balanced_pid,0.131,0.048,0.047,1.157,0.687,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-040,TUBE-7B1-040,conservative_pid,5.973,2.196,2.546,11.234,6.427,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-041,TUBE-7B1-041,aggressive_pid,0.06,0.008,0.027,0.638,0.102,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-041,TUBE-7B1-041,balanced_pid,0.115,0.035,0.047,1.258,0.512,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-041,TUBE-7B1-041,conservative_pid,6.237,1.883,2.531,11.642,4.743,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-042,TUBE-7B1-042,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-042,TUBE-7B1-042,balanced_pid,0.128,0.008,0.049,1.219,0.081,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-042,TUBE-7B1-042,conservative_pid,5.481,0.349,2.638,11.425,0.925,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-043,TUBE-7B1-043,aggressive_pid,0.026,0.003,0.028,0.372,0.04,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-043,TUBE-7B1-043,balanced_pid,0.029,0.003,0.048,0.413,0.044,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-043,TUBE-7B1-043,conservative_pid,5.972,0.335,2.592,12.108,1.012,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-045,TUBE-7B1-045,aggressive_pid,0.048,0.012,0.027,0.652,0.131,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-045,TUBE-7B1-045,balanced_pid,0.102,0.047,0.048,1.116,0.657,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-045,TUBE-7B1-045,conservative_pid,5.847,2.239,2.558,10.75,6.087,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-046,TUBE-7B1-046,aggressive_pid,0.042,0.004,0.027,0.611,0.064,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-046,TUBE-7B1-046,balanced_pid,0.089,0.018,0.047,1.019,0.193,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-046,TUBE-7B1-046,conservative_pid,6.311,1.941,2.522,11.648,4.47,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-047,TUBE-7B1-047,aggressive_pid,0.044,0.006,0.028,0.556,0.079,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-047,TUBE-7B1-047,balanced_pid,0.062,0.011,0.049,0.721,0.115,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-047,TUBE-7B1-047,conservative_pid,5.353,0.831,2.645,11.278,2.667,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-048,TUBE-7B1-048,aggressive_pid,0.03,0.008,0.028,0.336,0.117,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-048,TUBE-7B1-048,balanced_pid,0.125,0.024,0.048,1.354,0.324,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-048,TUBE-7B1-048,conservative_pid,5.886,0.858,2.599,12.533,3.037,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-049,TUBE-7B1-049,aggressive_pid,0.0,0.0,0.027,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-049,TUBE-7B1-049,balanced_pid,0.109,0.046,0.047,1.172,0.593,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-049,TUBE-7B1-049,conservative_pid,6.13,2.337,2.525,10.989,5.77,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-050,TUBE-7B1-050,aggressive_pid,0.041,0.015,0.027,0.603,0.219,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-050,TUBE-7B1-050,balanced_pid,0.071,0.025,0.047,0.764,0.261,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-050,TUBE-7B1-050,conservative_pid,6.378,2.143,2.508,11.741,4.258,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-051,TUBE-7B1-051,aggressive_pid,0.038,0.014,0.028,0.49,0.193,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-051,TUBE-7B1-051,balanced_pid,0.131,0.035,0.048,1.138,0.394,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-051,TUBE-7B1-051,conservative_pid,5.668,1.333,2.605,11.836,3.817,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-052,TUBE-7B1-052,aggressive_pid,0.023,0.006,0.027,0.273,0.091,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-052,TUBE-7B1-052,balanced_pid,0.024,0.007,0.048,0.286,0.095,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-052,TUBE-7B1-052,conservative_pid,6.142,1.366,2.558,12.221,4.088,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-053,TUBE-7B1-053,aggressive_pid,0.021,0.006,0.03,0.277,0.079,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-053,TUBE-7B1-053,balanced_pid,0.076,0.057,0.052,0.845,0.657,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-053,TUBE-7B1-053,conservative_pid,3.176,2.397,2.779,8.789,6.836,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-054,TUBE-7B1-054,aggressive_pid,0.048,0.02,0.029,0.647,0.275,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-054,TUBE-7B1-054,balanced_pid,0.063,0.043,0.051,0.838,0.46,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-054,TUBE-7B1-054,conservative_pid,4.399,2.044,2.73,11.072,4.697,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-055,TUBE-7B1-055,aggressive_pid,0.043,0.016,0.03,0.52,0.183,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-055,TUBE-7B1-055,balanced_pid,0.083,0.024,0.052,1.059,0.235,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-055,TUBE-7B1-055,conservative_pid,3.484,1.071,2.799,10.279,3.569,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-056,TUBE-7B1-056,aggressive_pid,0.035,0.014,0.029,0.401,0.185,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-056,TUBE-7B1-056,balanced_pid,0.115,0.024,0.05,1.276,0.267,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-056,TUBE-7B1-056,conservative_pid,4.92,0.896,2.693,11.957,3.055,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-057,TUBE-7B1-057,aggressive_pid,0.015,0.01,0.029,0.203,0.139,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-057,TUBE-7B1-057,balanced_pid,0.09,0.052,0.051,1.015,0.693,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-057,TUBE-7B1-057,conservative_pid,3.752,2.197,2.748,9.393,6.415,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-058,TUBE-7B1-058,aggressive_pid,0.0,0.0,0.029,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-058,TUBE-7B1-058,balanced_pid,0.092,0.04,0.051,1.223,0.482,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-058,TUBE-7B1-058,conservative_pid,4.597,1.861,2.725,11.466,4.522,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-060,TUBE-7B1-060,aggressive_pid,0.015,0.006,0.03,0.198,0.074,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-060,TUBE-7B1-060,balanced_pid,0.034,0.008,0.052,0.318,0.083,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-060,TUBE-7B1-060,conservative_pid,3.718,0.784,2.791,10.507,2.05,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-061,TUBE-7B1-061,aggressive_pid,0.034,0.018,0.029,0.355,0.236,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-061,TUBE-7B1-061,balanced_pid,0.048,0.029,0.05,0.591,0.394,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-061,TUBE-7B1-061,conservative_pid,5.022,1.137,2.679,11.722,4.078,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-062,TUBE-7B1-062,aggressive_pid,0.016,0.01,0.029,0.214,0.13,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-062,TUBE-7B1-062,balanced_pid,0.087,0.06,0.051,1.068,0.65,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-062,TUBE-7B1-062,conservative_pid,3.668,2.374,2.752,9.886,6.017,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-063,TUBE-7B1-063,aggressive_pid,0.007,0.013,0.029,0.091,0.182,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-063,TUBE-7B1-063,balanced_pid,0.021,0.019,0.05,0.265,0.236,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-063,TUBE-7B1-063,conservative_pid,4.727,2.076,2.697,11.439,5.099,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-064,TUBE-7B1-064,aggressive_pid,0.046,0.017,0.029,0.557,0.177,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-064,TUBE-7B1-064,balanced_pid,0.095,0.029,0.051,1.135,0.271,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-064,TUBE-7B1-064,conservative_pid,3.929,1.277,2.764,11.014,4.483,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-065,TUBE-7B1-065,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-065,TUBE-7B1-065,balanced_pid,0.092,0.014,0.05,1.176,0.158,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-065,TUBE-7B1-065,conservative_pid,5.201,1.098,2.669,12.235,3.884,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-066,TUBE-7B1-066,aggressive_pid,0.0,0.0,0.029,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-066,TUBE-7B1-066,balanced_pid,0.091,0.062,0.05,1.058,0.581,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-066,TUBE-7B1-066,conservative_pid,4.084,2.629,2.704,10.301,5.956,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-067,TUBE-7B1-067,aggressive_pid,0.049,0.026,0.028,0.683,0.268,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-067,TUBE-7B1-067,balanced_pid,0.065,0.07,0.049,0.885,0.744,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-067,TUBE-7B1-067,conservative_pid,4.869,2.49,2.658,11.68,6.966,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-068,TUBE-7B1-068,aggressive_pid,0.0,0.0,0.029,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-068,TUBE-7B1-068,balanced_pid,0.023,0.056,0.051,0.257,0.711,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
manual_review_limited_capacity,TASK-7B1-068,TUBE-7B1-068,conservative_pid,3.897,1.977,2.748,11.117,6.921,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
