scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
baseline,TASK-7B1-025,TUBE-7B1-025,balanced_pid,0.081,0.069,0.049,1.138,0.885,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-025,TUBE-7B1-025,conservative_pid,4.163,3.818,2.625,11.836,10.179,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-026,TUBE-7B1-026,aggressive_pid,0.01,0.041,0.027,0.146,0.602,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-026,TUBE-7B1-026,balanced_pid,0.024,0.093,0.047,0.282,1.023,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-026,TUBE-7B1-026,conservative_pid,5.162,3.697,2.552,12.134,9.936,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-027,TUBE-7B1-027,aggressive_pid,0.016,0.031,0.028,0.216,0.432,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-027,TUBE-7B1-027,balanced_pid,0.025,0.054,0.05,0.257,0.551,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-027,TUBE-7B1-027,conservative_pid,3.11,4.166,2.665,8.138,9.094,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-028,TUBE-7B1-028,aggressive_pid,0.042,0.029,0.027,0.598,0.412,0.214,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-028,TUBE-7B1-028,balanced_pid,0.056,0.075,0.048,0.775,0.915,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-028,TUBE-7B1-028,conservative_pid,4.307,4.392,2.577,10.239,9.516,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-029,TUBE-7B1-029,aggressive_pid,0.003,0.04,0.028,0.044,0.529,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-029,TUBE-7B1-029,balanced_pid,0.058,0.059,0.049,0.819,0.686,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-029,TUBE-7B1-029,conservative_pid,4.141,3.985,2.615,10.895,9.392,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-030,TUBE-7B1-030,aggressive_pid,0.005,0.014,0.029,0.064,0.193,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-030,TUBE-7B1-030,balanced_pid,0.034,0.033,0.05,0.447,0.404,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-030,TUBE-7B1-030,conservative_pid,3.241,3.467,2.704,10.324,9.333,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-031,TUBE-7B1-031,aggressive_pid,0.049,0.014,0.028,0.692,0.196,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-031,TUBE-7B1-031,balanced_pid,0.073,0.066,0.049,0.898,0.904,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-031,TUBE-7B1-031,conservative_pid,4.647,3.294,2.618,11.846,8.805,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-032,TUBE-7B1-032,aggressive_pid,0.007,0.012,0.029,0.103,0.164,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-032,TUBE-7B1-032,balanced_pid,0.071,0.081,0.05,0.861,0.861,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-032,TUBE-7B1-032,conservative_pid,3.432,3.762,2.676,8.958,8.388,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-033,TUBE-7B1-033,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-033,TUBE-7B1-033,balanced_pid,0.008,0.086,0.049,0.084,0.964,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-033,TUBE-7B1-033,conservative_pid,4.363,3.568,2.631,10.935,9.041,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-034,TUBE-7B1-034,aggressive_pid,0.04,0.003,0.029,0.547,0.04,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
