scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,1,0.223,0.197,0.317,1.096,0.697,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,2,0.229,0.196,0.315,1.262,0.721,0.626,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,3,0.224,0.198,0.32,1.177,0.765,0.62,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,4,0.224,0.2,0.317,1.155,0.793,0.614,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-004,TUBE-7B1-004,5,0.225,0.199,0.318,1.195,0.746,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,1,0.22,0.175,0.328,1.499,0.809,0.623,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,2,0.22,0.177,0.327,1.474,0.807,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,3,0.221,0.174,0.325,1.493,0.795,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,4,0.22,0.173,0.327,1.468,0.811,0.631,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-005,TUBE-7B1-005,5,0.22,0.169,0.329,1.47,0.801,0.647,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,1,0.256,0.183,0.325,2.542,1.552,0.629,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,2,0.258,0.18,0.32,2.532,1.461,0.603,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,3,0.262,0.183,0.324,2.579,1.52,0.633,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,4,0.259,0.187,0.323,2.59,1.611,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-006,TUBE-7B1-006,5,0.257,0.185,0.325,2.505,1.519,0.62,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,1,0.239,0.17,0.317,1.087,0.853,0.612,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,2,0.241,0.17,0.319,1.106,0.615,0.644,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,3,0.24,0.171,0.323,1.172,0.873,0.61,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,4,0.236,0.169,0.32,1.059,0.786,0.644,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-007,TUBE-7B1-007,5,0.235,0.17,0.319,1.005,0.819,0.624,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,1,0.217,0.152,0.334,0.923,0.614,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,2,0.212,0.157,0.334,1.039,0.758,0.614,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,3,0.215,0.157,0.331,0.965,0.713,0.596,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,4,0.215,0.156,0.333,0.999,0.692,0.607,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-008,TUBE-7B1-008,5,0.213,0.154,0.332,1.014,0.612,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,1,0.222,0.147,0.327,0.811,0.57,0.627,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,2,0.222,0.145,0.327,0.88,0.557,0.616,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,3,0.223,0.149,0.326,0.84,0.624,0.612,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,4,0.221,0.145,0.327,0.82,0.633,0.636,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-009,TUBE-7B1-009,5,0.222,0.148,0.326,0.784,0.545,0.619,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,1,0.234,0.156,0.32,0.829,0.565,0.616,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,2,0.237,0.154,0.322,0.939,0.566,0.622,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,3,0.236,0.158,0.322,0.822,0.537,0.626,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,4,0.236,0.155,0.323,0.932,0.542,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-010,TUBE-7B1-010,5,0.232,0.159,0.324,0.905,0.599,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,1,0.253,0.15,0.318,1.318,0.602,0.647,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,2,0.257,0.149,0.318,1.258,0.689,0.647,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,3,0.255,0.15,0.315,1.197,0.608,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,4,0.256,0.148,0.319,1.181,0.791,0.612,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-011,TUBE-7B1-011,5,0.255,0.149,0.316,1.175,0.613,0.619,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,1,0.238,0.134,0.331,1.453,1.011,0.635,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,2,0.239,0.131,0.333,1.467,0.914,0.637,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,3,0.233,0.138,0.328,1.51,1.029,0.618,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,4,0.238,0.14,0.332,1.648,1.096,0.634,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-012,TUBE-7B1-012,5,0.235,0.132,0.329,1.446,0.922,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,1,0.234,0.181,0.321,1.244,0.883,0.625,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,2,0.231,0.185,0.321,1.25,0.81,0.607,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,3,0.233,0.179,0.321,1.326,0.778,0.632,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,4,0.23,0.182,0.324,1.257,0.978,0.615,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-013,TUBE-7B1-013,5,0.232,0.179,0.322,1.301,0.762,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,1,0.231,0.137,0.329,1.229,0.535,0.609,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,2,0.228,0.138,0.327,1.138,0.61,0.604,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,3,0.23,0.14,0.329,1.13,0.644,0.622,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,4,0.227,0.14,0.326,1.131,0.601,0.601,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-014,TUBE-7B1-014,5,0.23,0.135,0.327,1.124,0.637,0.609,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,1,0.241,0.144,0.323,0.75,0.607,0.628,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,2,0.241,0.14,0.324,0.871,0.588,0.641,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,3,0.241,0.139,0.322,0.767,0.519,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,4,0.239,0.138,0.324,0.858,0.598,0.644,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-015,TUBE-7B1-015,5,0.238,0.141,0.323,0.749,0.624,0.604,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,1,0.251,0.136,0.323,0.77,0.402,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,2,0.248,0.132,0.321,0.839,0.454,0.635,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,3,0.251,0.138,0.319,0.867,0.497,0.604,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,4,0.252,0.138,0.318,0.908,0.385,0.61,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-016,TUBE-7B1-016,5,0.255,0.134,0.321,0.803,0.459,0.639,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,1,0.233,0.118,0.335,0.976,0.556,0.619,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,2,0.231,0.116,0.334,1.041,0.472,0.604,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,3,0.226,0.118,0.336,0.999,0.492,0.619,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,4,0.228,0.116,0.333,0.98,0.59,0.628,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-017,TUBE-7B1-017,5,0.236,0.116,0.335,1.068,0.524,0.626,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,1,0.243,0.122,0.325,1.084,0.667,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,2,0.243,0.118,0.326,0.985,0.726,0.617,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,3,0.244,0.122,0.328,1.064,0.724,0.617,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,4,0.253,0.123,0.327,1.194,0.825,0.623,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-018,TUBE-7B1-018,5,0.248,0.122,0.327,1.111,0.653,0.621,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,1,0.167,0.212,0.331,0.807,0.843,0.646,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,2,0.172,0.209,0.327,0.881,0.806,0.614,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,3,0.167,0.206,0.327,0.838,0.816,0.633,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,4,0.165,0.208,0.326,0.889,0.789,0.618,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-019,TUBE-7B1-019,5,0.169,0.205,0.328,0.845,0.858,0.633,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,1,0.21,0.2,0.32,1.314,0.82,0.609,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,2,0.209,0.2,0.322,1.42,0.805,0.631,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,3,0.211,0.196,0.326,1.408,0.753,0.615,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,4,0.211,0.198,0.324,1.426,0.828,0.616,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-020,TUBE-7B1-020,5,0.211,0.196,0.324,1.473,0.836,0.621,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,1,0.225,0.193,0.331,3.0,1.152,0.62,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,2,0.231,0.203,0.336,3.055,1.102,0.641,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,3,0.231,0.199,0.334,2.979,1.194,0.637,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,4,0.229,0.201,0.334,2.981,1.14,0.646,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-021,TUBE-7B1-021,5,0.229,0.201,0.333,3.067,1.191,0.633,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,1,0.207,0.176,0.326,1.011,0.725,0.608,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,2,0.207,0.178,0.327,0.916,0.813,0.613,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,3,0.21,0.177,0.327,0.938,0.754,0.659,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,4,0.207,0.18,0.327,0.971,0.738,0.638,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-022,TUBE-7B1-022,5,0.212,0.177,0.323,1.024,0.846,0.598,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,1,0.175,0.205,0.328,0.905,0.712,0.634,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,2,0.175,0.203,0.33,0.934,0.763,0.645,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,3,0.173,0.198,0.328,0.86,0.782,0.612,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,4,0.176,0.197,0.328,0.863,0.778,0.63,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-023,TUBE-7B1-023,5,0.175,0.204,0.327,0.887,0.757,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,1,0.202,0.182,0.324,0.927,0.739,0.615,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,2,0.2,0.186,0.327,0.833,0.763,0.623,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,3,0.201,0.187,0.327,0.871,0.848,0.622,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,4,0.201,0.186,0.324,0.877,0.746,0.597,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-024,TUBE-7B1-024,5,0.204,0.187,0.327,0.934,0.829,0.632,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,1,0.177,0.175,0.337,0.802,0.776,0.616,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,2,0.172,0.174,0.334,0.793,0.758,0.625,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,3,0.174,0.169,0.333,0.828,0.777,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,4,0.18,0.17,0.331,0.887,0.75,0.601,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-025,TUBE-7B1-025,5,0.174,0.17,0.334,0.825,0.728,0.623,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,1,0.207,0.174,0.325,0.752,0.892,0.632,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,2,0.213,0.177,0.325,0.795,0.937,0.627,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,3,0.21,0.174,0.328,0.825,0.969,0.65,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,4,0.211,0.175,0.328,0.745,0.952,0.624,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-026,TUBE-7B1-026,5,0.21,0.173,0.329,0.762,0.94,0.613,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,1,0.142,0.191,0.344,0.548,0.965,0.62,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,2,0.14,0.191,0.341,0.533,1.021,0.613,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,3,0.14,0.19,0.344,0.608,1.026,0.62,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,4,0.142,0.192,0.341,0.625,1.102,0.622,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-027,TUBE-7B1-027,5,0.139,0.194,0.34,0.57,1.047,0.612,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,1,0.186,0.192,0.329,1.093,0.739,0.615,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,2,0.191,0.194,0.329,1.253,0.767,0.615,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,3,0.185,0.192,0.33,1.104,0.768,0.62,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,4,0.184,0.193,0.329,1.1,0.83,0.623,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-028,TUBE-7B1-028,5,0.188,0.194,0.328,1.019,0.739,0.63,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,1,0.171,0.221,0.333,0.722,2.394,0.645,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,2,0.171,0.226,0.336,0.795,2.553,0.626,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,3,0.171,0.221,0.335,0.694,2.468,0.636,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,4,0.174,0.223,0.333,0.692,2.477,0.613,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-029,TUBE-7B1-029,5,0.17,0.224,0.335,0.749,2.451,0.602,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,1,0.149,0.2,0.347,0.76,2.196,0.641,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,2,0.151,0.201,0.348,0.763,2.345,0.655,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,3,0.146,0.202,0.347,0.781,2.274,0.623,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,4,0.151,0.194,0.344,0.792,2.236,0.598,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-030,TUBE-7B1-030,5,0.146,0.198,0.346,0.731,2.271,0.616,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,1,0.216,0.198,0.333,1.34,2.372,0.616,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,2,0.213,0.199,0.334,1.223,2.336,0.627,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,3,0.215,0.194,0.335,1.177,2.301,0.614,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,4,0.216,0.193,0.334,1.307,2.258,0.605,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-031,TUBE-7B1-031,5,0.212,0.197,0.334,1.302,2.386,0.617,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,1,0.169,0.197,0.342,1.227,1.971,0.626,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,2,0.165,0.199,0.342,1.226,1.954,0.618,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,3,0.162,0.197,0.341,1.15,1.9,0.639,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,4,0.162,0.197,0.34,1.225,1.929,0.621,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-032,TUBE-7B1-032,5,0.166,0.194,0.341,1.241,1.879,0.613,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,1,0.18,0.162,0.335,0.667,0.709,0.626,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,2,0.177,0.162,0.335,0.607,0.684,0.622,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,3,0.179,0.164,0.336,0.746,0.7,0.607,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,4,0.182,0.165,0.337,0.708,0.722,0.64,y,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-033,TUBE-7B1-033,5,0.181,0.167,0.337,0.785,0.673,0.616,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,1,0.16,0.14,0.348,0.959,0.671,0.627,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,2,0.155,0.143,0.347,0.873,0.633,0.621,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,3,0.156,0.145,0.346,0.904,0.605,0.623,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,4,0.156,0.151,0.35,1.013,0.708,0.618,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-034,TUBE-7B1-034,5,0.156,0.147,0.347,0.889,0.726,0.614,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,1,0.275,0.059,0.324,0.98,0.168,0.675,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,2,0.274,0.056,0.321,0.96,0.18,0.61,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,3,0.278,0.057,0.323,1.063,0.214,0.629,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,4,0.276,0.055,0.323,1.061,0.17,0.637,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-035,TUBE-7B1-035,5,0.277,0.055,0.323,1.046,0.165,0.595,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,1,0.24,0.111,0.329,0.9,0.599,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,2,0.238,0.108,0.332,0.903,0.593,0.607,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,3,0.239,0.113,0.33,0.791,0.583,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,4,0.238,0.114,0.331,0.859,0.512,0.618,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-036,TUBE-7B1-036,5,0.238,0.107,0.331,0.923,0.565,0.608,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-037,TUBE-7B1-037,1,0.269,0.096,0.327,1.183,0.579,0.606,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-037,TUBE-7B1-037,2,0.272,0.099,0.326,1.289,0.51,0.63,x,PASS,Task-level robustness summary for balanced_pid.
