scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
baseline,TASK-7B1-019,TUBE-7B1-019,4,0.172,0.205,0.329,0.98,0.771,0.608,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-019,TUBE-7B1-019,5,0.165,0.206,0.332,0.772,0.801,0.616,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-020,TUBE-7B1-020,1,0.209,0.193,0.322,1.37,0.79,0.623,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-020,TUBE-7B1-020,2,0.207,0.197,0.321,1.442,0.771,0.616,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-020,TUBE-7B1-020,3,0.212,0.202,0.32,1.389,0.798,0.621,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-020,TUBE-7B1-020,4,0.212,0.201,0.321,1.517,0.785,0.638,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-020,TUBE-7B1-020,5,0.211,0.201,0.321,1.383,0.755,0.62,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-021,TUBE-7B1-021,1,0.23,0.199,0.333,2.965,1.082,0.612,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-021,TUBE-7B1-021,2,0.233,0.2,0.333,3.039,1.069,0.669,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-021,TUBE-7B1-021,3,0.229,0.2,0.331,2.935,1.119,0.625,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-021,TUBE-7B1-021,4,0.232,0.198,0.335,3.083,1.126,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-021,TUBE-7B1-021,5,0.23,0.2,0.333,2.916,1.192,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-022,TUBE-7B1-022,1,0.21,0.176,0.326,1.043,0.749,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-022,TUBE-7B1-022,2,0.209,0.177,0.323,1.046,0.839,0.617,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-022,TUBE-7B1-022,3,0.207,0.178,0.324,0.93,0.738,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-022,TUBE-7B1-022,4,0.204,0.177,0.325,0.914,0.765,0.624,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-022,TUBE-7B1-022,5,0.211,0.178,0.327,1.043,0.702,0.636,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-023,TUBE-7B1-023,1,0.176,0.206,0.33,0.927,0.876,0.623,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-023,TUBE-7B1-023,2,0.174,0.203,0.326,0.776,0.706,0.64,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-023,TUBE-7B1-023,3,0.177,0.199,0.329,0.945,0.719,0.628,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-023,TUBE-7B1-023,4,0.179,0.198,0.33,0.76,0.7,0.618,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-023,TUBE-7B1-023,5,0.178,0.204,0.328,0.921,0.728,0.61,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-024,TUBE-7B1-024,1,0.207,0.184,0.325,0.966,0.68,0.632,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-024,TUBE-7B1-024,2,0.202,0.188,0.323,0.859,0.749,0.618,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-024,TUBE-7B1-024,3,0.2,0.184,0.326,0.998,0.734,0.636,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-024,TUBE-7B1-024,4,0.206,0.187,0.324,0.965,0.769,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-024,TUBE-7B1-024,5,0.203,0.187,0.326,0.938,0.823,0.628,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-025,TUBE-7B1-025,1,0.173,0.172,0.335,0.816,0.719,0.627,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-025,TUBE-7B1-025,2,0.176,0.169,0.337,0.955,0.698,0.62,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-025,TUBE-7B1-025,3,0.174,0.17,0.336,0.811,0.756,0.642,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-025,TUBE-7B1-025,4,0.174,0.172,0.337,0.858,0.746,0.62,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-025,TUBE-7B1-025,5,0.175,0.172,0.336,0.884,0.893,0.624,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-026,TUBE-7B1-026,1,0.209,0.171,0.324,0.712,0.989,0.599,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-026,TUBE-7B1-026,2,0.212,0.172,0.326,0.788,1.012,0.617,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-026,TUBE-7B1-026,3,0.209,0.174,0.327,0.775,0.887,0.616,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-026,TUBE-7B1-026,4,0.209,0.176,0.327,0.763,1.043,0.625,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-026,TUBE-7B1-026,5,0.21,0.173,0.325,0.716,0.916,0.625,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-027,TUBE-7B1-027,1,0.137,0.191,0.338,0.51,0.96,0.609,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-027,TUBE-7B1-027,2,0.142,0.185,0.342,0.618,1.059,0.628,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-027,TUBE-7B1-027,3,0.139,0.19,0.34,0.59,1.144,0.637,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-027,TUBE-7B1-027,4,0.141,0.189,0.342,0.559,1.116,0.626,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-027,TUBE-7B1-027,5,0.14,0.19,0.34,0.491,1.117,0.652,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-028,TUBE-7B1-028,1,0.192,0.195,0.33,1.147,0.817,0.616,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-028,TUBE-7B1-028,2,0.19,0.195,0.333,1.11,0.701,0.622,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-028,TUBE-7B1-028,3,0.194,0.195,0.329,1.095,0.784,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-028,TUBE-7B1-028,4,0.189,0.197,0.329,1.178,0.795,0.625,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-028,TUBE-7B1-028,5,0.183,0.196,0.326,1.053,0.762,0.626,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-029,TUBE-7B1-029,1,0.175,0.228,0.334,0.742,2.5,0.611,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-029,TUBE-7B1-029,2,0.172,0.224,0.334,0.669,2.42,0.616,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-029,TUBE-7B1-029,3,0.169,0.227,0.333,0.766,2.471,0.61,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-029,TUBE-7B1-029,4,0.174,0.223,0.336,0.745,2.378,0.63,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-029,TUBE-7B1-029,5,0.174,0.226,0.333,0.779,2.508,0.606,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-030,TUBE-7B1-030,1,0.151,0.195,0.345,0.769,2.249,0.623,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-030,TUBE-7B1-030,2,0.149,0.198,0.348,0.688,2.235,0.645,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-030,TUBE-7B1-030,3,0.152,0.201,0.345,0.809,2.28,0.629,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-030,TUBE-7B1-030,4,0.153,0.2,0.346,0.792,2.272,0.632,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-030,TUBE-7B1-030,5,0.148,0.198,0.347,0.744,2.267,0.63,y,PASS,Task-level robustness summary for balanced_pid.
