scenario_id,task_id,tube_id,waypoint_index,waypoint_name,x_mm,y_mm,z_mm,gripper_state,sample_category,target_type,target_box_id,source_slot_id,state_machine_status,notes
baseline,TASK-7B1-006,TUBE-7B1-006,8,scan_wait,0.0,20.0,155.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-006,TUBE-7B1-006,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,lift before place XY
baseline,TASK-7B1-006,TUBE-7B1-006,10,move_xy_above_place,205.0,-170.0,190.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,XY place move at safe_z
baseline,TASK-7B1-006,TUBE-7B1-006,11,descend_to_place,205.0,-170.0,135.0,closed,category_A,output_box,output_box_A,R2C1,completed_output,Z descend allowed at place target
baseline,TASK-7B1-006,TUBE-7B1-006,12,grip_open,205.0,-170.0,135.0,open,category_A,output_box,output_box_A,R2C1,completed_output,release tube
baseline,TASK-7B1-006,TUBE-7B1-006,13,lift_to_safe_z_after_place,205.0,-170.0,190.0,open,category_A,output_box,output_box_A,R2C1,completed_output,return to safe_z after place
baseline,TASK-7B1-007,TUBE-7B1-007,1,home_safe,0.0,0.0,190.0,open,category_B,output_box,output_box_B,R2C3,completed_output,safe home above rack/tube top
baseline,TASK-7B1-007,TUBE-7B1-007,2,move_xy_above_pick,-190.0,-145.0,190.0,open,category_B,output_box,output_box_B,R2C3,completed_output,XY move only at safe_z
baseline,TASK-7B1-007,TUBE-7B1-007,3,descend_to_pick,-190.0,-145.0,145.0,open,category_B,output_box,output_box_B,R2C3,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-007,TUBE-7B1-007,4,grip_close,-190.0,-145.0,145.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,gripper action
baseline,TASK-7B1-007,TUBE-7B1-007,5,lift_to_safe_z,-190.0,-145.0,190.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,lift before XY travel
baseline,TASK-7B1-007,TUBE-7B1-007,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-007,TUBE-7B1-007,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,scan alignment placeholder
baseline,TASK-7B1-007,TUBE-7B1-007,8,scan_wait,0.0,20.0,155.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-007,TUBE-7B1-007,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,lift before place XY
baseline,TASK-7B1-007,TUBE-7B1-007,10,move_xy_above_place,355.0,-170.0,190.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,XY place move at safe_z
baseline,TASK-7B1-007,TUBE-7B1-007,11,descend_to_place,355.0,-170.0,135.0,closed,category_B,output_box,output_box_B,R2C3,completed_output,Z descend allowed at place target
baseline,TASK-7B1-007,TUBE-7B1-007,12,grip_open,355.0,-170.0,135.0,open,category_B,output_box,output_box_B,R2C3,completed_output,release tube
baseline,TASK-7B1-007,TUBE-7B1-007,13,lift_to_safe_z_after_place,355.0,-170.0,190.0,open,category_B,output_box,output_box_B,R2C3,completed_output,return to safe_z after place
baseline,TASK-7B1-008,TUBE-7B1-008,1,home_safe,0.0,0.0,190.0,open,category_C,output_box,output_box_C,R2C4,completed_output,safe home above rack/tube top
baseline,TASK-7B1-008,TUBE-7B1-008,2,move_xy_above_pick,-165.0,-145.0,190.0,open,category_C,output_box,output_box_C,R2C4,completed_output,XY move only at safe_z
baseline,TASK-7B1-008,TUBE-7B1-008,3,descend_to_pick,-165.0,-145.0,145.0,open,category_C,output_box,output_box_C,R2C4,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-008,TUBE-7B1-008,4,grip_close,-165.0,-145.0,145.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,gripper action
baseline,TASK-7B1-008,TUBE-7B1-008,5,lift_to_safe_z,-165.0,-145.0,190.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,lift before XY travel
baseline,TASK-7B1-008,TUBE-7B1-008,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-008,TUBE-7B1-008,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,scan alignment placeholder
baseline,TASK-7B1-008,TUBE-7B1-008,8,scan_wait,0.0,20.0,155.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-008,TUBE-7B1-008,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,lift before place XY
baseline,TASK-7B1-008,TUBE-7B1-008,10,move_xy_above_place,205.0,10.0,190.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,XY place move at safe_z
baseline,TASK-7B1-008,TUBE-7B1-008,11,descend_to_place,205.0,10.0,135.0,closed,category_C,output_box,output_box_C,R2C4,completed_output,Z descend allowed at place target
