scenario_id,task_id,tube_id,segment_index,from_waypoint,to_waypoint,motion_type,axis_mode,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,segment_distance_mm,requires_safe_z,collision_check_required,notes
baseline,TASK-7B1-005,TUBE-7B1-005,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-115.0,-170.0,190.0,205.244,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-005,TUBE-7B1-005,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-115.0,-170.0,190.0,-115.0,-170.0,145.0,45.0,true,true,
baseline,TASK-7B1-005,TUBE-7B1-005,3,descend_to_pick,grip_close,gripper_action,gripper,-115.0,-170.0,145.0,-115.0,-170.0,145.0,0.0,false,false,
baseline,TASK-7B1-005,TUBE-7B1-005,4,grip_close,lift_to_safe_z,z_lift,z_axis,-115.0,-170.0,145.0,-115.0,-170.0,190.0,45.0,true,true,
baseline,TASK-7B1-005,TUBE-7B1-005,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-115.0,-170.0,190.0,0.0,20.0,190.0,222.092,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-005,TUBE-7B1-005,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-005,TUBE-7B1-005,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-005,TUBE-7B1-005,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-005,TUBE-7B1-005,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,330.0,10.0,190.0,330.151,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-005,TUBE-7B1-005,10,move_xy_above_place,descend_to_place,z_descend,z_axis,330.0,10.0,190.0,330.0,10.0,135.0,55.0,true,true,
baseline,TASK-7B1-005,TUBE-7B1-005,11,descend_to_place,grip_open,gripper_action,gripper,330.0,10.0,135.0,330.0,10.0,135.0,0.0,false,false,
baseline,TASK-7B1-005,TUBE-7B1-005,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,330.0,10.0,135.0,330.0,10.0,190.0,55.0,true,true,
baseline,TASK-7B1-006,TUBE-7B1-006,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-240.0,-145.0,190.0,280.401,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-006,TUBE-7B1-006,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-240.0,-145.0,190.0,-240.0,-145.0,145.0,45.0,true,true,
baseline,TASK-7B1-006,TUBE-7B1-006,3,descend_to_pick,grip_close,gripper_action,gripper,-240.0,-145.0,145.0,-240.0,-145.0,145.0,0.0,false,false,
baseline,TASK-7B1-006,TUBE-7B1-006,4,grip_close,lift_to_safe_z,z_lift,z_axis,-240.0,-145.0,145.0,-240.0,-145.0,190.0,45.0,true,true,
baseline,TASK-7B1-006,TUBE-7B1-006,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-240.0,-145.0,190.0,0.0,20.0,190.0,291.247,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-006,TUBE-7B1-006,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-006,TUBE-7B1-006,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-006,TUBE-7B1-006,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
